input_name	producer_stage	input_pattern	output_pattern	required_fields_or_contract	filter_deduplicate_sort_rule	software_or_service	seed	reference_rows	reference_missing_summary	reference_sha256	rule_recovery	clean_reconstruction
npass_v2_evidence	01-05 NPASS audit/evidence/UniProt mapping	verified NPASS 2.0 four-file snapshot + UniProt responses	data/processed/npass_v2_evidence_records_v1_1_uniprot_mapped.tsv.gz	43 evidence and mapping fields	exact source rows; frozen evidence policy v1.1; strict reviewed-human one-to-one mapping; stable source ordering	Python/pandas + UniProt REST	NA	115073	activity_value_molar 34111; p_activity 34180; canonical accession 106; sequence MD5 160	69802f62470930405d2658cc37e99f668aeb7db7795696ff78c76563d552d582	RECOVERED_FROM_PROJECT_EVIDENCE	COMPLETED_EXACT_SHA256
npass_v3_evidence	01-05 NPASS audit/evidence/UniProt mapping	verified NPASS 3.0 four-file snapshot + PubMed/UniProt responses	data/processed/npass_v3_evidence_records_v1_1_uniprot_mapped.tsv.gz	43 evidence and mapping fields	exact source rows; frozen evidence policy v1.1; conservative v3-only temporal status; strict mapping; stable source ordering	Python/pandas + PubMed/UniProt REST	NA	169813	activity_value_molar 49909; p_activity 49982; canonical accession 107; sequence MD5 157	cc80a1cfe11c4bfd007cf0a9b110026429bffc99b23abff500d2cfddeb7fadbe	RECOVERED_FROM_PROJECT_EVIDENCE	COMPLETED_EXACT_SHA256
pubmed_v2_metadata	06 PubMed v2 date archive	strict NPASS v2 A/B P1 PMID set	data/interim/pubmed_v2_pmid_metadata.csv.gz	pmid; found; raw/normalized dates; precision; source; DOI; journal; title	unique sorted PMID list; ESummary batches; retain missing and date precision without invented days	NCBI PubMed ESummary	NA	14512	4 absent publication dates; optional DOI 6187 absent	f94a892fd9ce106a62e6306b16a0a2f0b5482987c1610d33e6cba21e090029b0	RECOVERED_FROM_PROJECT_EVIDENCE	COMPLETED_EXACT_SHA256
npass_v2_structures	00 verified source acquisition	NPASS 2.0 official structure file	data/raw/npass2/NPASSv2.0_download_naturalProducts_structureInfo.txt	np_id; InChI; InChIKey; SMILES	exact official bytes; no transformation	NPASS official download	NA	96235	none	cbe688e9b6fdd0960c78d1a93d7f487ca4a2bbad3017275515c3d90d2a0f72fa	HASH_AND_URL_LOCKED	COMPLETED_EXACT_SHA256
frozen_historical_pairs	07-18 temporal/C31/cold-start/successor bundle	strict date-verified v2 A/B pairs	bundle/scoring_inputs/historical_pairs.tsv.gz	canonical pair; compound key; canonical target; best tier; decision; PU policy	4990 fixed members; exact key uniqueness; best A over B; lexical stable ordering	Python stdlib/pandas	NA	4990	none	75a01dc27fbffd677154865f6817e51f00d8f0dacdbbe4cf8ef7dbcf31a2e959	RECOVERED_FROM_PROJECT_EVIDENCE	COMPLETED_EXACT_SHA256
frozen_scoring_queries	07-18 temporal/C31/cold-start/successor bundle	retained strict future C31-primary pairs	bundle/scoring_inputs/scoring_queries.tsv.gz	query_id; compound key	unique future compounds; deterministic query numbering after sorted compound key	Python stdlib	NA	222	none	0e6068d2e25cb3ea325656fb3517563788cd496e88cfaa3de761890fec9e9318	RECOVERED_FROM_PROJECT_EVIDENCE	COMPLETED_EXACT_SHA256
frozen_compounds	11-18 structures/scaffolds/successor bundle	strict historical and query compounds with validated InChI repair	bundle/scoring_inputs/compounds.tsv.gz	compound key; representative SMILES	most frequent eligible source SMILES with lexical tie break; one exact-key validated repair; stable key sort	RDKit 2026.03.4 + Python	NA	1888	none	80c4c654d8726202e7221d561c5f9f5a9e94b21a1b7009128b1d59cb32aa2674	RECOVERED_FROM_PROJECT_EVIDENCE	COMPLETED_EXACT_SHA256
candidate_targets	10/18 ChEMBL catalogue and successor bundle	verified ChEMBL 31 SQLite	bundle/scoring_inputs/candidate_targets.tsv.gz	canonical target accession	Homo sapiens SINGLE PROTEIN targets; component/accession uniqueness; lexical accession sort	SQLite/Python	NA	4123	none	0ee86746b306fb388a1f74a6b88ce4d1eba01b7a4eb473315f6b3def57145cdc	RECOVERED_FROM_PROJECT_EVIDENCE	COMPLETED_EXACT_SHA256
candidate_sequences	10/18 ChEMBL catalogue and successor bundle	verified ChEMBL 31 component sequences	bundle/scoring_inputs/candidate_sequences.fasta	one FASTA record per candidate target	one nonempty sequence per target; lexical accession order; 80-character wrapping	SQLite/Python	NA	4123	none	a83421dba2482f236fe18340dd592cc7d5ed22c98c4fc39435c40f04f289b442	RECOVERED_FROM_PROJECT_EVIDENCE	COMPLETED_EXACT_SHA256
frozen_endpoint	07-18 temporal/C31/successor bundle	strict future pairs after exact ChEMBL 31 leakage gate	bundle/evaluation_inputs/evaluation_pairs.tsv.gz	pair; query; compound; target; tier; decision; C31 status	358 retained C31-primary pairs; unique sorted pair keys; A preferred over B	Python stdlib	NA	358	none	09296b066a23197a7c178f00514f2b3d9ed7e6f3c459ea92a55e01a6010d1132	RECOVERED_FROM_PROJECT_EVIDENCE	COMPLETED_EXACT_SHA256
